price,bed,bath,acre_lot,state,house_size,state_number
632000.0,3.0,2.0,0.17,Arizona,1743.0,1
544900.0,4.0,3.0,0.19,Arizona,2436.0,1
485000.0,3.0,2.0,0.14,Arizona,1766.0,1
205000.0,3.0,2.0,0.14,Arizona,972.0,1
240000.0,3.0,2.0,0.16,Arizona,1118.0,1
519000.0,3.0,3.0,0.17,Arizona,2450.0,1
405072.0,3.0,3.0,0.1,Arizona,2051.0,1
610000.0,2.0,2.0,0.03,Arizona,1171.0,1
379999.0,3.0,2.0,0.06,Arizona,1799.0,1
1275000.0,2.0,2.0,0.0,Arizona,1970.0,1
1100000.0,5.0,4.0,0.83,Arizona,3957.0,1
995000.0,3.0,3.0,0.27,Arizona,2385.0,1
229900.0,3.0,2.0,0.17,Arizona,1248.0,1
345000.0,4.0,2.0,0.52,Arizona,1973.0,1
364999.0,3.0,2.0,0.13,Arizona,1651.0,1
379900.0,3.0,2.0,0.02,Arizona,1053.0,1
349000.0,4.0,3.0,0.16,Arizona,1665.0,1
299900.0,2.0,2.0,0.06,Arizona,1060.0,1
309900.0,2.0,2.0,2.35,Arizona,1015.0,1
299000.0,1.0,1.0,0.02,Arizona,810.0,1
790000.0,5.0,3.0,0.17,Arizona,2869.0,1
525000.0,3.0,2.0,0.23,Arizona,1862.0,1
379990.0,4.0,2.0,0.15,Arizona,2142.0,1
1190000.0,4.0,4.0,0.29,Arizona,3882.0,1
1000000.0,4.0,3.0,0.24,Arizona,2701.0,1
984686.0,4.0,3.0,0.22,Arizona,2471.0,1
630000.0,3.0,3.0,1.17,Arizona,2475.0,1
489000.0,4.0,2.0,0.23,Arizona,2004.0,1
465000.0,3.0,2.0,0.2,Arizona,1859.0,1
599000.0,4.0,4.0,0.15,Arizona,3526.0,1
649900.0,4.0,3.0,0.19,Arizona,2413.0,1
1475000.0,5.0,5.0,5.08,Arizona,4508.0,1
399900.0,3.0,2.0,0.21,Arizona,1610.0,1
295000.0,2.0,1.0,0.17,Arizona,828.0,1
649900.0,4.0,3.0,0.17,Arizona,2315.0,1
200000.0,3.0,2.0,0.23,Arizona,1215.0,1
260000.0,3.0,2.0,0.11,Arizona,1314.0,1
545000.0,3.0,2.0,0.17,Arizona,1780.0,1
4500000.0,7.0,6.0,1.04,Arizona,5942.0,1
399900.0,3.0,2.0,2.5,Arizona,1442.0,1
295000.0,3.0,2.0,0.07,Arizona,1788.0,1
229000.0,2.0,2.0,0.03,Arizona,1025.0,1
160000.0,2.0,2.0,0.02,Arizona,900.0,1
959000.0,3.0,2.0,0.29,Arizona,1975.0,1
259500.0,2.0,2.0,0.2,Arizona,840.0,1
515000.0,4.0,3.0,0.25,Arizona,2904.0,1
305000.0,3.0,2.0,0.1,Arizona,1490.0,1
725000.0,3.0,2.0,0.2,Arizona,2161.0,1
484900.0,5.0,2.0,0.13,Arizona,1927.0,1
240000.0,4.0,2.0,0.52,Arizona,1584.0,1
280000.0,3.0,3.0,0.02,Arizona,1657.0,1
515000.0,3.0,3.0,0.03,Arizona,1702.0,1
324000.0,2.0,2.0,0.03,Arizona,1104.0,1
829000.0,3.0,3.0,0.26,Arizona,2475.0,1
275000.0,2.0,1.0,0.14,Arizona,960.0,1
995000.0,3.0,3.0,4.68,Arizona,2985.0,1
235000.0,2.0,2.0,0.06,Arizona,1303.0,1
297500.0,2.0,2.0,0.21,Arizona,1610.0,1
699000.0,3.0,2.0,0.14,Arizona,1288.0,1
449500.0,4.0,2.0,0.2,Arizona,2302.0,1
479000.0,2.0,2.0,0.13,Arizona,1566.0,1
924900.0,4.0,3.0,0.22,Arizona,2709.0,1
334555.0,2.0,2.0,0.18,Arizona,1617.0,1
419000.0,4.0,2.0,0.18,Arizona,1880.0,1
480000.0,4.0,2.0,0.12,Arizona,2038.0,1
425000.0,3.0,2.0,0.23,Arizona,1863.0,1
849999.0,3.0,3.0,0.04,Arizona,1852.0,1
107900.0,1.0,1.0,0.05,Arizona,401.0,1
290000.0,3.0,2.0,0.28,Arizona,1000.0,1
267575.0,2.0,2.0,0.07,Arizona,1218.0,1
229900.0,2.0,2.0,0.16,Arizona,1377.0,1
440000.0,4.0,3.0,0.11,Arizona,2230.0,1
184700.0,4.0,2.0,0.16,Arizona,1540.0,1
375000.0,2.0,2.0,0.14,Arizona,1300.0,1
175000.0,3.0,2.0,0.15,Arizona,1178.0,1
849000.0,3.0,2.0,2.01,Arizona,1530.0,1
246000.0,3.0,2.0,0.1,Arizona,1501.0,1
303000.0,2.0,2.0,0.08,Arizona,1030.0,1
382585.0,4.0,2.0,0.2,Arizona,2101.0,1
600000.0,4.0,2.0,0.17,Arizona,2063.0,1
875000.0,2.0,3.0,0.14,Arizona,1743.0,1
97900.0,2.0,2.0,0.17,Arizona,840.0,1
287000.0,3.0,2.0,0.1,Arizona,1510.0,1
875000.0,4.0,3.0,0.16,Arizona,2235.0,1
175000.0,2.0,1.0,0.01,Arizona,974.0,1
134900.0,2.0,2.0,0.28,Arizona,1184.0,1
500000.0,3.0,2.0,0.16,Arizona,1982.0,1
749000.0,3.0,2.0,20.0,Arizona,2934.0,1
769900.0,3.0,3.0,0.18,Arizona,2578.0,1
784900.0,3.0,3.0,1.0,Arizona,2473.0,1
2490000.0,4.0,4.0,1.6,Arizona,4079.0,1
949990.0,4.0,4.0,0.33,Arizona,3754.0,1
190000.0,2.0,2.0,0.12,Arizona,1563.0,1
310000.0,3.0,2.0,0.15,Arizona,1700.0,1
390000.0,2.0,2.0,0.18,Arizona,1248.0,1
495000.0,2.0,2.0,0.19,Arizona,1669.0,1
326500.0,2.0,2.0,0.02,Arizona,1122.0,1
231900.0,3.0,2.0,0.21,Arizona,1481.0,1
249900.0,3.0,2.0,0.14,Arizona,1568.0,1
425000.0,2.0,2.0,0.13,Arizona,1963.0,1
150000.0,2.0,2.0,0.09,Arizona,1248.0,1
275000.0,2.0,3.0,0.01,Arizona,1072.0,1
319800.0,3.0,2.0,0.15,Arizona,1176.0,1
925000.0,4.0,3.0,0.54,Arizona,2528.0,1
150000.0,2.0,2.0,0.12,Arizona,1440.0,1
329999.0,4.0,3.0,0.11,Arizona,2311.0,1
815000.0,5.0,3.0,0.21,Arizona,2948.0,1
279900.0,4.0,2.0,0.98,Arizona,1904.0,1
698000.0,4.0,4.0,1.04,Arizona,3197.0,1
420000.0,4.0,2.0,0.12,Arizona,1567.0,1
1050000.0,3.0,4.0,0.03,Arizona,2679.0,1
374990.0,4.0,3.0,0.12,Arizona,1912.0,1
329000.0,3.0,2.0,0.24,Arizona,1210.0,1
565000.0,4.0,3.0,0.16,Arizona,3037.0,1
409900.0,2.0,2.0,0.26,Arizona,1449.0,1
529000.0,2.0,2.0,0.2,Arizona,2099.0,1
750000.0,4.0,3.0,0.12,Arizona,2407.0,1
610000.0,4.0,3.0,2.41,Arizona,2524.0,1
949000.0,6.0,6.0,1.12,Arizona,5200.0,1
485000.0,4.0,2.0,1.1,Arizona,1569.0,1
460000.0,2.0,2.0,0.1,Arizona,1504.0,1
769980.0,4.0,4.0,1.25,Arizona,3270.0,1
425000.0,3.0,2.0,0.16,Arizona,1702.0,1
425000.0,3.0,2.0,0.13,Arizona,1273.0,1
460000.0,3.0,2.0,0.13,Arizona,1500.0,1
320000.0,2.0,1.0,0.11,Arizona,964.0,1
385000.0,4.0,2.0,0.15,Arizona,1721.0,1
998000.0,3.0,2.0,0.15,Arizona,1742.0,1
450000.0,3.0,2.0,0.17,Arizona,1528.0,1
299000.0,3.0,2.0,0.14,Arizona,1252.0,1
285000.0,2.0,1.0,0.15,Arizona,651.0,1
265000.0,3.0,2.0,0.12,Arizona,1782.0,1
1470000.0,4.0,4.0,0.86,Arizona,3671.0,1
219000.0,3.0,3.0,0.37,Arizona,1464.0,1
850000.0,3.0,2.0,0.13,Arizona,1169.0,1
394775.0,4.0,3.0,0.15,Arizona,2258.0,1
435000.0,3.0,3.0,0.17,Arizona,2610.0,1
445000.0,3.0,2.0,0.23,Arizona,1792.0,1
725000.0,3.0,2.0,1.03,Arizona,1895.0,1
395000.0,4.0,2.0,0.13,Arizona,1689.0,1
675000.0,4.0,3.0,0.16,Arizona,2469.0,1
255000.0,2.0,2.0,0.14,Arizona,1108.0,1
549000.0,2.0,2.0,0.12,Arizona,2025.0,1
429500.0,4.0,2.0,0.17,Arizona,2241.0,1
82000.0,2.0,1.0,0.14,Arizona,900.0,1
240000.0,4.0,2.0,0.84,Arizona,2308.0,1
259000.0,2.0,2.0,0.06,Arizona,1379.0,1
595000.0,5.0,3.0,0.21,Arizona,3123.0,1
450000.0,3.0,3.0,0.13,Arizona,1963.0,1
365000.0,3.0,2.0,0.2,Arizona,1744.0,1
359000.0,3.0,2.0,0.44,Arizona,1736.0,1
605000.0,3.0,4.0,0.08,Arizona,2239.0,1
345500.0,2.0,2.0,0.03,Arizona,1060.0,1
695000.0,3.0,2.0,0.66,Arizona,2262.0,1
814900.0,3.0,2.0,0.33,Arizona,1460.0,1
510000.0,3.0,2.0,0.05,Arizona,1702.0,1
430000.0,3.0,2.0,0.21,Arizona,2000.0,1
599000.0,3.0,2.0,0.15,Arizona,2014.0,1
449500.0,4.0,4.0,5.12,Arizona,2874.0,1
800000.0,3.0,3.0,0.35,Arizona,2583.0,1
725000.0,3.0,2.0,0.24,Arizona,2060.0,1
699000.0,4.0,3.0,0.24,Arizona,2318.0,1
270000.0,3.0,2.0,0.16,Arizona,1275.0,1
645000.0,3.0,2.0,0.2,Arizona,2289.0,1
440000.0,2.0,2.0,0.01,Arizona,1508.0,1
133000.0,2.0,1.0,0.02,Arizona,696.0,1
839500.0,3.0,2.0,0.01,Arizona,2041.0,1
439900.0,2.0,2.0,0.17,Arizona,1792.0,1
475000.0,3.0,2.0,0.24,Arizona,2166.0,1
475000.0,4.0,3.0,0.09,Arizona,2232.0,1
839990.0,3.0,3.0,0.83,Arizona,2830.0,1
409000.0,3.0,2.0,0.14,Arizona,1438.0,1
360000.0,2.0,2.0,0.04,Arizona,1502.0,1
466000.0,3.0,2.0,0.17,Arizona,1921.0,1
245000.0,3.0,2.0,0.21,Arizona,1496.0,1
180000.0,3.0,2.0,0.4,Arizona,960.0,1
250000.0,1.0,1.0,0.06,Arizona,698.0,1
789900.0,4.0,3.0,0.19,Arizona,3045.0,1
340000.0,3.0,2.0,0.21,Arizona,1732.0,1
575900.0,5.0,4.0,0.1,Arizona,2222.0,1
355000.0,4.0,3.0,0.11,Arizona,2192.0,1
235000.0,5.0,3.0,1.0,Arizona,1904.0,1
529000.0,4.0,3.0,0.17,Arizona,2505.0,1
589000.0,3.0,2.0,1.0,Arizona,1926.0,1
514900.0,3.0,2.0,0.16,Arizona,2137.0,1
4750000.0,4.0,5.0,1.17,Arizona,4797.0,1
570000.0,3.0,2.0,0.17,Arizona,1979.0,1
389900.0,3.0,2.0,0.18,Arizona,1100.0,1
370000.0,4.0,3.0,0.23,Arizona,2310.0,1
540000.0,3.0,2.0,0.08,Arizona,1726.0,1
250000.0,2.0,2.0,0.01,Arizona,792.0,1
416490.0,3.0,2.0,0.11,Arizona,1568.0,1
2997000.0,4.0,6.0,1.67,Arizona,6000.0,1
750000.0,4.0,2.0,0.25,Arizona,2169.0,1
590000.0,2.0,3.0,0.24,Arizona,1881.0,1
560000.0,4.0,3.0,0.14,Arizona,3104.0,1
119000.0,3.0,2.0,0.19,Arizona,1344.0,1
275000.0,3.0,2.0,0.14,Arizona,1326.0,1
3195000.0,3.0,4.0,1.0,Arizona,5165.0,1
480000.0,4.0,4.0,0.17,Arizona,2750.0,1
129900.0,3.0,1.0,0.48,Arizona,1224.0,1
474900.0,3.0,2.0,0.26,Arizona,1667.0,1
275000.0,3.0,2.0,0.12,Arizona,1764.0,1
419900.0,3.0,2.0,0.15,Arizona,1510.0,1
260000.0,4.0,2.0,1.04,Arizona,2282.0,1
575000.0,5.0,2.0,0.22,Arizona,2114.0,1
456500.0,3.0,2.0,0.15,Arizona,1739.0,1
270000.0,3.0,2.0,0.1,Arizona,1490.0,1
480000.0,3.0,2.0,0.18,Arizona,1897.0,1
330000.0,3.0,2.0,0.13,Arizona,1258.0,1
